timestamp_kyiv,index,utilization_gpu_percent,memory_used_mib,power_draw_w,power_limit_w,temperature_c,free_disk_gib
2026-08-10T01:35:49+03:00,0, 0, 1, 21.89, 300.00, 45,124
2026-08-10T01:35:49+03:00,1, 0, 1, 24.63, 300.00, 41,124
2026-08-10T01:36:19+03:00,0, 0, 821, 117.58, 300.00, 55,124
2026-08-10T01:36:19+03:00,1, 61, 6034, 214.60, 300.00, 61,124
2026-08-10T01:36:49+03:00,0, 0, 889, 121.22, 300.00, 59,124
2026-08-10T01:36:49+03:00,1, 0, 9328, 232.95, 300.00, 65,124
2026-08-10T01:37:19+03:00,0, 0, 897, 123.02, 300.00, 61,124
2026-08-10T01:37:19+03:00,1, 36, 9332, 260.28, 300.00, 71,124
2026-08-10T01:37:49+03:00,0, 10, 3607, 157.70, 300.00, 64,124
2026-08-10T01:37:49+03:00,1, 85, 9334, 209.89, 300.00, 76,124
2026-08-10T01:38:20+03:00,0, 0, 648, 141.65, 300.00, 65,124
2026-08-10T01:38:20+03:00,1, 0, 4, 59.74, 300.00, 59,124
