timestamp_kyiv,index,utilization_gpu_percent,memory_used_mib,power_draw_w,power_limit_w,temperature_c,free_disk_gib
2026-08-10T02:04:14+03:00,0, 0, 1, 22.73, 300.00, 46,124
2026-08-10T02:04:14+03:00,1, 0, 1, 24.89, 300.00, 42,124
2026-08-10T02:04:29+03:00,0, 0, 1, 22.50, 300.00, 46,124
2026-08-10T02:04:29+03:00,1, 28, 2886, 212.97, 300.00, 55,124
2026-08-10T02:05:23+03:00,0, 0, 1, 21.89, 300.00, 45,124
2026-08-10T02:05:23+03:00,1, 0, 1, 26.44, 300.00, 43,124
2026-08-10T02:05:25+03:00,0, 16, 846, 38.25, 300.00, 49,124
2026-08-10T02:05:25+03:00,1, 0, 1, 31.38, 300.00, 43,124
2026-08-10T02:05:27+03:00,0, 26, 1496, 130.61, 300.00, 53,124
2026-08-10T02:05:27+03:00,1, 0, 1, 27.75, 300.00, 43,124
2026-08-10T02:05:29+03:00,0, 14, 1498, 115.77, 300.00, 53,124
2026-08-10T02:05:29+03:00,1, 0, 1, 25.89, 300.00, 43,124
2026-08-10T02:05:32+03:00,0, 1, 1598, 117.71, 300.00, 53,124
2026-08-10T02:05:32+03:00,1, 0, 1, 26.02, 300.00, 43,124
2026-08-10T02:05:34+03:00,0, 4, 1670, 116.85, 300.00, 54,124
2026-08-10T02:05:34+03:00,1, 0, 1, 26.08, 300.00, 42,124
2026-08-10T02:05:36+03:00,0, 1, 1760, 114.74, 300.00, 54,124
2026-08-10T02:05:36+03:00,1, 0, 1, 25.96, 300.00, 42,124
2026-08-10T02:05:38+03:00,0, 47, 2086, 139.39, 300.00, 58,124
2026-08-10T02:05:38+03:00,1, 0, 1, 26.13, 300.00, 42,124
2026-08-10T02:05:40+03:00,0, 39, 2590, 221.53, 300.00, 59,124
2026-08-10T02:05:40+03:00,1, 0, 1, 26.16, 300.00, 42,124
2026-08-10T02:05:42+03:00,0, 45, 2590, 200.47, 300.00, 59,124
2026-08-10T02:05:42+03:00,1, 0, 1, 26.23, 300.00, 42,124
